Aktion_0,Aktion_1,Aktion_2,Aktion_3,Aktion_4,Aktion_5,Aktion_6,Aktion_7,Aktion_8,Aktion_9,Aktion_10,Aktion_11,Aktion_12,Aktion_13,Aktion_14,Aktion_15,Aktion_16,Aktion_17,Name
59,149,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
45,100,5,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
61,200,7,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
53,94,5,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
54,61,6,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
52,126,5,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
84,181,6,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
97,279,10,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_194
34,201,10,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
67,69,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
45,209,13,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
43,198,12,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
44,193,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
42,174,16,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
39,172,11,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
59,199,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
44,132,11,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
54,257,8,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
34,221,12,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
34,169,9,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
54,135,13,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
42,255,15,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
45,84,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
42,179,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
43,201,17,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
53,159,8,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
53,133,14,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
38,165,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
43,160,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
33,326,11,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
43,241,10,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
58,181,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
86,328,10,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
41,262,15,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
50,320,13,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
54,413,9,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
36,216,17,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
55,130,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_198
36,228,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
44,258,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
50,129,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
37,397,13,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
56,408,9,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
36,199,10,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
49,195,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
62,213,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
40,189,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
45,140,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
49,251,6,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
33,233,9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
47,109,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
50,203,14,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
51,281,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
51,264,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
44,106,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
39,164,10,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
37,318,17,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
38,193,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
41,170,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
41,270,18,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
58,168,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
45,234,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
54,191,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
36,303,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
46,149,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
57,373,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
42,79,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
44,162,12,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_201
41,197,4,59,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
46,186,8,58,16,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
34,235,4,35,14,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
48,290,7,60,21,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
36,137,4,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
33,161,4,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
45,256,5,44,9,4,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
44,220,5,47,9,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
34,162,7,27,11,4,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
38,231,4,36,14,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
39,176,6,34,10,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
37,228,4,48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
40,241,7,30,8,4,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
47,271,6,35,9,3,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
41,204,5,49,10,5,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
48,123,4,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
38,176,6,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
40,153,5,39,8,5,0,0,0,0,0,0,0,0,0,0,0,0,Agent_248
